timestamp,loss,metric_value,gpu_util,gpu_mem_mb
2026-07-07T18:40:03+00:00,,,0,4
2026-07-07T18:45:03+00:00,1.84808,0.28522,91,30957
2026-07-07T18:50:04+00:00,2.15144,0.12849,90,30933
2026-07-07T18:55:04+00:00,1.85935,0.40184,100,30967
2026-07-07T19:00:04+00:00,1.72693,0.43822,99,30973
2026-07-07T19:05:04+00:00,1.62412,0.47172,15,29101
2026-07-07T19:10:04+00:00,1.5713,0.53614,91,30929
2026-07-07T19:15:04+00:00,1.52029,0.55281,82,30933
2026-07-07T19:20:05+00:00,1.47857,0.55114,92,30985
2026-07-07T19:25:05+00:00,1.45108,0.58604,91,30973
2026-07-07T19:30:05+00:00,1.42501,0.61404,90,30973
2026-07-07T19:35:05+00:00,1.39791,0.60684,94,30967
2026-07-07T19:40:05+00:00,1.37574,0.59415,32,30973
2026-07-07T19:45:05+00:00,1.35132,0.63565,52,30967
2026-07-07T19:50:05+00:00,1.31885,0.61336,100,30979
2026-07-07T19:55:05+00:00,1.29224,0.66194,91,30967
2026-07-07T20:00:06+00:00,1.29259,0.66825,40,30933
2026-07-07T20:05:06+00:00,1.26952,0.63169,88,30937
2026-07-07T20:10:06+00:00,1.23909,0.65534,6,12473
2026-07-07T20:15:06+00:00,1.23292,0.66017,92,30925
2026-07-07T20:20:06+00:00,1.21588,0.66012,91,30963
2026-07-07T20:25:06+00:00,1.18241,0.64686,63,30933
2026-07-07T20:30:06+00:00,1.17362,0.66491,20,30925
2026-07-07T20:35:06+00:00,1.1525,0.67163,70,30943
2026-07-07T20:40:07+00:00,1.13602,0.66472,26,30925
2026-07-07T20:45:07+00:00,1.11716,0.66857,87,12367
2026-07-07T20:50:07+00:00,1.10356,0.66311,90,30935
2026-07-07T20:55:07+00:00,1.07966,0.685,91,30925
2026-07-07T21:00:07+00:00,1.05668,0.68382,20,30961
2026-07-07T21:05:07+00:00,1.04899,0.67922,90,30979
2026-07-07T21:10:07+00:00,1.0265,0.67723,76,30961
2026-07-07T21:15:08+00:00,1.00732,0.67531,100,30931
2026-07-07T21:20:08+00:00,0.99211,0.67514,100,30967
2026-07-07T21:25:08+00:00,0.97253,0.68176,41,30929
2026-07-07T21:30:08+00:00,0.95173,0.67456,92,31017
2026-07-07T21:35:08+00:00,0.93119,0.68531,49,30979
2026-07-07T21:40:08+00:00,0.9174,0.66485,86,30979
2026-07-07T21:45:09+00:00,0.90986,0.67238,100,30961
2026-07-07T21:50:09+00:00,0.8946,0.68393,91,30967
2026-07-07T21:55:09+00:00,0.87881,0.66007,44,30931
2026-07-07T22:00:09+00:00,0.85768,0.66348,20,30979
2026-07-07T22:05:09+00:00,0.83248,0.6724,91,30925
2026-07-07T22:10:09+00:00,0.81458,0.66772,65,12355
2026-07-07T22:15:09+00:00,0.80907,0.66745,80,30979
2026-07-07T22:20:09+00:00,0.79184,0.66194,52,30929
2026-07-07T22:25:10+00:00,0.77937,0.66343,36,30973
2026-07-07T22:30:10+00:00,0.76602,0.66272,100,30973
2026-07-07T22:35:10+00:00,0.75495,0.65745,100,30973
2026-07-07T22:40:10+00:00,0.73829,0.67765,33,30961
2026-07-07T22:45:10+00:00,0.73289,0.67412,80,30973
2026-07-07T22:50:10+00:00,0.72203,0.66272,48,30979
2026-07-07T22:55:10+00:00,0.70654,0.66986,56,30979
2026-07-07T23:00:10+00:00,0.70308,0.66834,81,30961
2026-07-07T23:05:11+00:00,0.69701,0.6647,20,30985
2026-07-07T23:10:11+00:00,0.69032,0.66338,90,30973
2026-07-07T23:15:11+00:00,0.68498,0.66863,77,12365
2026-07-07T23:20:11+00:00,0.67938,0.67012,100,30981
2026-07-07T23:25:11+00:00,0.61963,0.66792,100,30929
2026-07-07T23:30:11+00:00,0.59629,0.66801,64,12355
2026-07-07T23:35:11+00:00,0.58426,0.66705,100,30929
2026-07-07T23:40:12+00:00,0.58948,0.66825,54,30925
